ICD9_Code,CCS_Category,CCS_Desc,Mapped_Category
'     ','0    ','No DX',other
'01000','1    ','Tuberculosis',other
'01001','1    ','Tuberculosis',other
'01002','1    ','Tuberculosis',other
'01003','1    ','Tuberculosis',other
'01004','1    ','Tuberculosis',other
'01005','1    ','Tuberculosis',other
'01006','1    ','Tuberculosis',other
'01010','1    ','Tuberculosis',other
'01011','1    ','Tuberculosis',other
'01012','1    ','Tuberculosis',other
'01013','1    ','Tuberculosis',other
'01014','1    ','Tuberculosis',other
'01015','1    ','Tuberculosis',other
'01016','1    ','Tuberculosis',other
'01080','1    ','Tuberculosis',other
'01081','1    ','Tuberculosis',other
'01082','1    ','Tuberculosis',other
'01083','1    ','Tuberculosis',other
'01084','1    ','Tuberculosis',other
'01085','1    ','Tuberculosis',other
'01086','1    ','Tuberculosis',other
'01090','1    ','Tuberculosis',other
'01091','1    ','Tuberculosis',other
'01092','1    ','Tuberculosis',other
'01093','1    ','Tuberculosis',other
'01094','1    ','Tuberculosis',other
'01095','1    ','Tuberculosis',other
'01096','1    ','Tuberculosis',other
'01100','1    ','Tuberculosis',other
'01101','1    ','Tuberculosis',other
'01102','1    ','Tuberculosis',other
'01103','1    ','Tuberculosis',other
'01104','1    ','Tuberculosis',other
'01105','1    ','Tuberculosis',other
'01106','1    ','Tuberculosis',other
'01110','1    ','Tuberculosis',other
'01111','1    ','Tuberculosis',other
'01112','1    ','Tuberculosis',other
'01113','1    ','Tuberculosis',other
'01114','1    ','Tuberculosis',other
'01115','1    ','Tuberculosis',other
'01116','1    ','Tuberculosis',other
'01120','1    ','Tuberculosis',other
'01121','1    ','Tuberculosis',other
'01122','1    ','Tuberculosis',other
'01123','1    ','Tuberculosis',other
'01124','1    ','Tuberculosis',other
'01125','1    ','Tuberculosis',other
'01126','1    ','Tuberculosis',other
'01130','1    ','Tuberculosis',other
'01131','1    ','Tuberculosis',other
'01132','1    ','Tuberculosis',other
'01133','1    ','Tuberculosis',other
'01134','1    ','Tuberculosis',other
'01135','1    ','Tuberculosis',other
'01136','1    ','Tuberculosis',other
'01140','1    ','Tuberculosis',other
'01141','1    ','Tuberculosis',other
'01142','1    ','Tuberculosis',other
'01143','1    ','Tuberculosis',other
'01144','1    ','Tuberculosis',other
'01145','1    ','Tuberculosis',other
'01146','1    ','Tuberculosis',other
'01150','1    ','Tuberculosis',other
'01151','1    ','Tuberculosis',other
'01152','1    ','Tuberculosis',other
'01153','1    ','Tuberculosis',other
'01154','1    ','Tuberculosis',other
'01155','1    ','Tuberculosis',other
'01156','1    ','Tuberculosis',other
'01160','1    ','Tuberculosis',other
'01161','1    ','Tuberculosis',other
'01162','1    ','Tuberculosis',other
'01163','1    ','Tuberculosis',other
'01164','1    ','Tuberculosis',other
'01165','1    ','Tuberculosis',other
'01166','1    ','Tuberculosis',other
'01170','1    ','Tuberculosis',other
'01171','1    ','Tuberculosis',other
'01172','1    ','Tuberculosis',other
'01173','1    ','Tuberculosis',other
'01174','1    ','Tuberculosis',other
'01175','1    ','Tuberculosis',other
'01176','1    ','Tuberculosis',other
'01180','1    ','Tuberculosis',other
'01181','1    ','Tuberculosis',other
'01182','1    ','Tuberculosis',other
'01183','1    ','Tuberculosis',other
'01184','1    ','Tuberculosis',other
'01185','1    ','Tuberculosis',other
'01186','1    ','Tuberculosis',other
'01190','1    ','Tuberculosis',other
'01191','1    ','Tuberculosis',other
'01192','1    ','Tuberculosis',other
'01193','1    ','Tuberculosis',other
'01194','1    ','Tuberculosis',other
'01195','1    ','Tuberculosis',other
'01196','1    ','Tuberculosis',other
'01200','1    ','Tuberculosis',other
'01201','1    ','Tuberculosis',other
'01202','1    ','Tuberculosis',other
'01203','1    ','Tuberculosis',other
'01204','1    ','Tuberculosis',other
'01205','1    ','Tuberculosis',other
'01206','1    ','Tuberculosis',other
'01210','1    ','Tuberculosis',other
'01211','1    ','Tuberculosis',other
'01212','1    ','Tuberculosis',other
'01213','1    ','Tuberculosis',other
'01214','1    ','Tuberculosis',other
'01215','1    ','Tuberculosis',other
'01216','1    ','Tuberculosis',other
'01220','1    ','Tuberculosis',other
'01221','1    ','Tuberculosis',other
'01222','1    ','Tuberculosis',other
'01223','1    ','Tuberculosis',other
'01224','1    ','Tuberculosis',other
'01225','1    ','Tuberculosis',other
'01226','1    ','Tuberculosis',other
'01230','1    ','Tuberculosis',other
'01231','1    ','Tuberculosis',other
'01232','1    ','Tuberculosis',other
'01233','1    ','Tuberculosis',other
'01234','1    ','Tuberculosis',other
'01235','1    ','Tuberculosis',other
'01236','1    ','Tuberculosis',other
'01280','1    ','Tuberculosis',other
'01281','1    ','Tuberculosis',other
'01282','1    ','Tuberculosis',other
'01283','1    ','Tuberculosis',other
'01284','1    ','Tuberculosis',other
'01285','1    ','Tuberculosis',other
'01286','1    ','Tuberculosis',other
'01300','1    ','Tuberculosis',other
'01301','1    ','Tuberculosis',other
'01302','1    ','Tuberculosis',other
'01303','1    ','Tuberculosis',other
'01304','1    ','Tuberculosis',other
'01305','1    ','Tuberculosis',other
'01306','1    ','Tuberculosis',other
'01310','1    ','Tuberculosis',other
'01311','1    ','Tuberculosis',other
'01312','1    ','Tuberculosis',other
'01313','1    ','Tuberculosis',other
'01314','1    ','Tuberculosis',other
'01315','1    ','Tuberculosis',other
'01316','1    ','Tuberculosis',other
'01320','1    ','Tuberculosis',other
'01321','1    ','Tuberculosis',other
'01322','1    ','Tuberculosis',other
'01323','1    ','Tuberculosis',other
'01324','1    ','Tuberculosis',other
'01325','1    ','Tuberculosis',other
'01326','1    ','Tuberculosis',other
'01330','1    ','Tuberculosis',other
'01331','1    ','Tuberculosis',other
'01332','1    ','Tuberculosis',other
'01333','1    ','Tuberculosis',other
'01334','1    ','Tuberculosis',other
'01335','1    ','Tuberculosis',other
'01336','1    ','Tuberculosis',other
'01340','1    ','Tuberculosis',other
'01341','1    ','Tuberculosis',other
'01342','1    ','Tuberculosis',other
'01343','1    ','Tuberculosis',other
'01344','1    ','Tuberculosis',other
'01345','1    ','Tuberculosis',other
'01346','1    ','Tuberculosis',other
'01350','1    ','Tuberculosis',other
'01351','1    ','Tuberculosis',other
'01352','1    ','Tuberculosis',other
'01353','1    ','Tuberculosis',other
'01354','1    ','Tuberculosis',other
'01355','1    ','Tuberculosis',other
'01356','1    ','Tuberculosis',other
'01360','1    ','Tuberculosis',other
'01361','1    ','Tuberculosis',other
'01362','1    ','Tuberculosis',other
'01363','1    ','Tuberculosis',other
'01364','1    ','Tuberculosis',other
'01365','1    ','Tuberculosis',other
'01366','1    ','Tuberculosis',other
'01380','1    ','Tuberculosis',other
'01381','1    ','Tuberculosis',other
'01382','1    ','Tuberculosis',other
'01383','1    ','Tuberculosis',other
'01384','1    ','Tuberculosis',other
'01385','1    ','Tuberculosis',other
'01386','1    ','Tuberculosis',other
'01390','1    ','Tuberculosis',other
'01391','1    ','Tuberculosis',other
'01392','1    ','Tuberculosis',other
'01393','1    ','Tuberculosis',other
'01394','1    ','Tuberculosis',other
'01395','1    ','Tuberculosis',other
'01396','1    ','Tuberculosis',other
'01400','1    ','Tuberculosis',other
'01401','1    ','Tuberculosis',other
'01402','1    ','Tuberculosis',other
'01403','1    ','Tuberculosis',other
'01404','1    ','Tuberculosis',other
'01405','1    ','Tuberculosis',other
'01406','1    ','Tuberculosis',other
'01480','1    ','Tuberculosis',other
'01481','1    ','Tuberculosis',other
'01482','1    ','Tuberculosis',other
'01483','1    ','Tuberculosis',other
'01484','1    ','Tuberculosis',other
'01485','1    ','Tuberculosis',other
'01486','1    ','Tuberculosis',other
'01500','1    ','Tuberculosis',other
'01501','1    ','Tuberculosis',other
'01502','1    ','Tuberculosis',other
'01503','1    ','Tuberculosis',other
'01504','1    ','Tuberculosis',other
'01505','1    ','Tuberculosis',other
'01506','1    ','Tuberculosis',other
'01510','1    ','Tuberculosis',other
'01511','1    ','Tuberculosis',other
'01512','1    ','Tuberculosis',other
'01513','1    ','Tuberculosis',other
'01514','1    ','Tuberculosis',other
'01515','1    ','Tuberculosis',other
'01516','1    ','Tuberculosis',other
'01520','1    ','Tuberculosis',other
'01521','1    ','Tuberculosis',other
'01522','1    ','Tuberculosis',other
'01523','1    ','Tuberculosis',other
'01524','1    ','Tuberculosis',other
'01525','1    ','Tuberculosis',other
'01526','1    ','Tuberculosis',other
'01550','1    ','Tuberculosis',other
'01551','1    ','Tuberculosis',other
'01552','1    ','Tuberculosis',other
'01553','1    ','Tuberculosis',other
'01554','1    ','Tuberculosis',other
'01555','1    ','Tuberculosis',other
'01556','1    ','Tuberculosis',other
'01560','1    ','Tuberculosis',other
'01561','1    ','Tuberculosis',other
'01562','1    ','Tuberculosis',other
'01563','1    ','Tuberculosis',other
'01564','1    ','Tuberculosis',other
'01565','1    ','Tuberculosis',other
'01566','1    ','Tuberculosis',other
'01570','1    ','Tuberculosis',other
'01571','1    ','Tuberculosis',other
'01572','1    ','Tuberculosis',other
'01573','1    ','Tuberculosis',other
'01574','1    ','Tuberculosis',other
'01575','1    ','Tuberculosis',other
'01576','1    ','Tuberculosis',other
'01580','1    ','Tuberculosis',other
'01581','1    ','Tuberculosis',other
'01582','1    ','Tuberculosis',other
'01583','1    ','Tuberculosis',other
'01584','1    ','Tuberculosis',other
'01585','1    ','Tuberculosis',other
'01586','1    ','Tuberculosis',other
'01590','1    ','Tuberculosis',other
'01591','1    ','Tuberculosis',other
'01592','1    ','Tuberculosis',other
'01593','1    ','Tuberculosis',other
'01594','1    ','Tuberculosis',other
'01595','1    ','Tuberculosis',other
'01596','1    ','Tuberculosis',other
'01600','1    ','Tuberculosis',other
'01601','1    ','Tuberculosis',other
'01602','1    ','Tuberculosis',other
'01603','1    ','Tuberculosis',other
'01604','1    ','Tuberculosis',other
'01605','1    ','Tuberculosis',other
'01606','1    ','Tuberculosis',other
'01610','1    ','Tuberculosis',other
'01611','1    ','Tuberculosis',other
'01612','1    ','Tuberculosis',other
'01613','1    ','Tuberculosis',other
'01614','1    ','Tuberculosis',other
'01615','1    ','Tuberculosis',other
'01616','1    ','Tuberculosis',other
'01620','1    ','Tuberculosis',other
'01621','1    ','Tuberculosis',other
'01622','1    ','Tuberculosis',other
'01623','1    ','Tuberculosis',other
'01624','1    ','Tuberculosis',other
'01625','1    ','Tuberculosis',other
'01626','1    ','Tuberculosis',other
'01630','1    ','Tuberculosis',other
'01631','1    ','Tuberculosis',other
'01632','1    ','Tuberculosis',other
'01633','1    ','Tuberculosis',other
'01634','1    ','Tuberculosis',other
'01635','1    ','Tuberculosis',other
'01636','1    ','Tuberculosis',other
'01640','1    ','Tuberculosis',other
'01641','1    ','Tuberculosis',other
'01642','1    ','Tuberculosis',other
'01643','1    ','Tuberculosis',other
'01644','1    ','Tuberculosis',other
'01645','1    ','Tuberculosis',other
'01646','1    ','Tuberculosis',other
'01650','1    ','Tuberculosis',other
'01651','1    ','Tuberculosis',other
'01652','1    ','Tuberculosis',other
'01653','1    ','Tuberculosis',other
'01654','1    ','Tuberculosis',other
'01655','1    ','Tuberculosis',other
'01656','1    ','Tuberculosis',other
'01660','1    ','Tuberculosis',other
'01661','1    ','Tuberculosis',other
'01662','1    ','Tuberculosis',other
'01663','1    ','Tuberculosis',other
'01664','1    ','Tuberculosis',other
'01665','1    ','Tuberculosis',other
'01666','1    ','Tuberculosis',other
'01670','1    ','Tuberculosis',other
'01671','1    ','Tuberculosis',other
'01672','1    ','Tuberculosis',other
'01673','1    ','Tuberculosis',other
'01674','1    ','Tuberculosis',other
'01675','1    ','Tuberculosis',other
'01676','1    ','Tuberculosis',other
'01690','1    ','Tuberculosis',other
'01691','1    ','Tuberculosis',other
'01692','1    ','Tuberculosis',other
'01693','1    ','Tuberculosis',other
'01694','1    ','Tuberculosis',other
'01695','1    ','Tuberculosis',other
'01696','1    ','Tuberculosis',other
'01700','1    ','Tuberculosis',other
'01701','1    ','Tuberculosis',other
'01702','1    ','Tuberculosis',other
'01703','1    ','Tuberculosis',other
'01704','1    ','Tuberculosis',other
'01705','1    ','Tuberculosis',other
'01706','1    ','Tuberculosis',other
'01710','1    ','Tuberculosis',other
'01711','1    ','Tuberculosis',other
'01712','1    ','Tuberculosis',other
'01713','1    ','Tuberculosis',other
'01714','1    ','Tuberculosis',other
'01715','1    ','Tuberculosis',other
'01716','1    ','Tuberculosis',other
'01720','1    ','Tuberculosis',other
'01721','1    ','Tuberculosis',other
'01722','1    ','Tuberculosis',other
'01723','1    ','Tuberculosis',other
'01724','1    ','Tuberculosis',other
'01725','1    ','Tuberculosis',other
'01726','1    ','Tuberculosis',other
'01730','1    ','Tuberculosis',other
'01731','1    ','Tuberculosis',other
'01732','1    ','Tuberculosis',other
'01733','1    ','Tuberculosis',other
'01734','1    ','Tuberculosis',other
'01735','1    ','Tuberculosis',other
'01736','1    ','Tuberculosis',other
'01740','1    ','Tuberculosis',other
'01741','1    ','Tuberculosis',other
'01742','1    ','Tuberculosis',other
'01743','1    ','Tuberculosis',other
'01744','1    ','Tuberculosis',other
'01745','1    ','Tuberculosis',other
'01746','1    ','Tuberculosis',other
'01750','1    ','Tuberculosis',other
'01751','1    ','Tuberculosis',other
'01752','1    ','Tuberculosis',other
'01753','1    ','Tuberculosis',other
'01754','1    ','Tuberculosis',other
'01755','1    ','Tuberculosis',other
'01756','1    ','Tuberculosis',other
'01760','1    ','Tuberculosis',other
'01761','1    ','Tuberculosis',other
'01762','1    ','Tuberculosis',other
'01763','1    ','Tuberculosis',other
'01764','1    ','Tuberculosis',other
'01765','1    ','Tuberculosis',other
'01766','1    ','Tuberculosis',other
'01770','1    ','Tuberculosis',other
'01771','1    ','Tuberculosis',other
'01772','1    ','Tuberculosis',other
'01773','1    ','Tuberculosis',other
'01774','1    ','Tuberculosis',other
'01775','1    ','Tuberculosis',other
'01776','1    ','Tuberculosis',other
'01780','1    ','Tuberculosis',other
'01781','1    ','Tuberculosis',other
'01782','1    ','Tuberculosis',other
'01783','1    ','Tuberculosis',other
'01784','1    ','Tuberculosis',other
'01785','1    ','Tuberculosis',other
'01786','1    ','Tuberculosis',other
'01790','1    ','Tuberculosis',other
'01791','1    ','Tuberculosis',other
'01792','1    ','Tuberculosis',other
'01793','1    ','Tuberculosis',other
'01794','1    ','Tuberculosis',other
'01795','1    ','Tuberculosis',other
'01796','1    ','Tuberculosis',other
'01800','1    ','Tuberculosis',other
'01801','1    ','Tuberculosis',other
'01802','1    ','Tuberculosis',other
'01803','1    ','Tuberculosis',other
'01804','1    ','Tuberculosis',other
'01805','1    ','Tuberculosis',other
'01806','1    ','Tuberculosis',other
'01880','1    ','Tuberculosis',other
'01881','1    ','Tuberculosis',other
'01882','1    ','Tuberculosis',other
'01883','1    ','Tuberculosis',other
'01884','1    ','Tuberculosis',other
'01885','1    ','Tuberculosis',other
'01886','1    ','Tuberculosis',other
'01890','1    ','Tuberculosis',other
'01891','1    ','Tuberculosis',other
'01892','1    ','Tuberculosis',other
'01893','1    ','Tuberculosis',other
'01894','1    ','Tuberculosis',other
'01895','1    ','Tuberculosis',other
'01896','1    ','Tuberculosis',other
'1370 ','1    ','Tuberculosis',other
